id	en_name	zh_name	java类型	是否落盘	是否同步	简介	来源
custom_data	Custom Data	自定义数据	DataComponentType<CustomData>	是	否	唯一允许存放任意 CompoundTag 的组件，是官方留的逃生舱。优先用专用组件；只有自有的纯内部状态且无对应组件时才用它。注册时未显式声明 networkSynchronized，build() 会回退到 ByteBufCodecs.fromCodecWithRegistries(codec) 的通用流编解码器，同步仍可行但编码效率不如手写 codec。	jar 提取；名称与简介为手工撰写
max_stack_size	Max Stack Size	最大堆叠数量	DataComponentType<Integer>	是	是	控制单组最大堆叠数。落盘用 ExtraCodecs.intRange(1,99)，超出范围直接编解码失败。Item.getMaxStackSize() 的兜底是 1 而不是 64，默认 64 只来自 COMMON_ITEM_COMPONENTS——自行构造组件表时漏设它会让物品莫名不可堆叠。	jar 提取；名称与简介为手工撰写
max_damage	Max Damage	最大耐久	DataComponentType<Integer>	是	是	耐久上限，落盘用 ExtraCodecs.POSITIVE_INT，必须为正整数。它与 damage 一起构成「有耐久」的物品。	jar 提取；名称与简介为手工撰写
damage	Damage	已消耗耐久	DataComponentType<Integer>	是	是	当前已消耗的耐久，落盘用 ExtraCodecs.NON_NEGATIVE_INT。陷阱：只要此组件存在且 max_stack_size > 1，注册期就抛 IllegalStateException("Item cannot have both durability and be stackable")。	jar 提取；名称与简介为手工撰写
unbreakable	Unbreakable	无法破坏	DataComponentType<Unbreakable>	是	是	使物品不消耗耐久。值是 record Unbreakable(boolean showInTooltip)，该布尔只控制是否显示「无法破坏」提示行，不影响是否真的不可破坏。	jar 提取；名称与简介为手工撰写
custom_name	Custom Name	自定义名称	DataComponentType<Component>	是	是	铁砧改名写在这里，是玩家实际看到的物品名；LockCode.unlocksWith 也正是拿它与锁字符串比较。	jar 提取；名称与简介为手工撰写
item_name	Item Name	物品名称	DataComponentType<Component>	是	是	覆盖物品的基础名（常用于覆盖语言文件里的名称）。它不是「自定义名称」：custom_name 优先级更高，两者混用会得到意外的显示名。	jar 提取；名称与简介为手工撰写
lore	Lore	描述文本	DataComponentType<ItemLore>	是	是	tooltip 中附加的说明文本行，原版由 SetLoreFunction 写入。	jar 提取；名称与简介为手工撰写
rarity	Rarity	稀有度	DataComponentType<Rarity>	是	是	决定物品名的颜色与稀有度分级；COMMON_ITEM_COMPONENTS 默认给 Rarity.COMMON。	jar 提取；名称与简介为手工撰写
enchantments	Enchantments	附魔	DataComponentType<ItemEnchantments>	是	是	物品自身携带的附魔。1.21 起附魔不再是 NBT 列表，读写必须走组件（EnchantmentHelper 已按其实现）。	jar 提取；名称与简介为手工撰写
can_place_on	Can Place On	可放置于	DataComponentType<AdventureModePredicate>	是	是	冒险模式下允许放置的方块白名单。谓词内的方块 id 必须能在当前注册表中解析。	jar 提取；名称与简介为手工撰写
can_break	Can Break	可破坏	DataComponentType<AdventureModePredicate>	是	是	冒险模式下允许破坏的方块白名单，与 can_place_on 同为 AdventureModePredicate 谓词结构。	jar 提取；名称与简介为手工撰写
attribute_modifiers	Attribute Modifiers	属性修饰符	DataComponentType<ItemAttributeModifiers>	是	是	手持/穿戴该物品时生效的属性修饰符。陷阱：内部属性 id 必须带前缀（generic.max_health、player.block_break_speed 等），写成裸名会解析失败。	jar 提取；名称与简介为手工撰写
custom_model_data	Custom Model Data	自定义模型数据	DataComponentType<CustomModelData>	是	是	资源包据此切换模型。1.21.1 的值只是 record CustomModelData(int value)，尚未扩展为多值结构。	jar 提取；名称与简介为手工撰写
hide_additional_tooltip	Hide Extra Tooltip	隐藏附加提示	DataComponentType<Unit>	是	是	隐藏附魔、属性修饰符等附加提示行，但保留物品名与 lore。	jar 提取；名称与简介为手工撰写
hide_tooltip	Hide Tooltip	隐藏全部提示	DataComponentType<Unit>	是	是	完全隐藏 tooltip，除 F3+H 外看不到任何提示行。	jar 提取；名称与简介为手工撰写
repair_cost	Repair Cost	修理惩罚	DataComponentType<Integer>	是	是	铁砧的修理惩罚等级，落盘用 ExtraCodecs.NON_NEGATIVE_INT；等级越高在铁砧上操作越贵。	jar 提取；名称与简介为手工撰写
